project_name,objectid,province_territory,project_size,commissioning_date,total_project_capacity_mw,turbine_identifier,turbine_number_in_project,turbine_rated_capacity_k_w,derated_uprated,rotor_diameter_m,rotor_dia_assumed,hub_height_m,hub_height_assumed,latitude,longitude,manufacturer,model
Cruickshank,2060,Ontario,5,2008,8.25,CRU5,5/5,1650.0,Neither,82.0,False,80.0,False,44.2477506221537,-81.5625531372547,Vestas,V82/1650
Cultus,2066,Ontario,6,2008,9.9,CUL6,6/6,1650.0,Neither,82.0,False,90.0,True,42.6011367114762,-80.571981863067,Vestas,V82/1650
Cypress,6696,Saskatchewan,16,2003,10.56,CYP9,9/16,660.0,Neither,47.0,False,50.0,False,50.0217920280125,-108.532063479328,Vestas,V47
Côte-de-Beaupré,5749,Quebec,10,2015,23.5,CBD9,9/10,2350.0,Neither,92.0,False,85.0,False,47.3122068367657,-70.8703422173449,Enercon,E-92
Dalhousie Mountain,1532,Nova Scotia,34,2009,51.0,DAL9,9/34,1500.0,Neither,77.0,False,80.0,False,45.5927567518904,-62.9401441751291,GE,GE 1.5SLE
De l'Érable,5314,Quebec,50,2013,100.0,ERA9,9/50,2000.0,Neither,82.0,False,85.0,False,46.1635814770462,-71.5784283227264,Enercon,E-82
Des Moulins I,5373,Quebec,68,2013,156.85,DMO9,9/68,2300.0,Neither,82.0,False,98.0,False,46.2170239992498,-71.2709900668383,Enercon,E-82
Des Moulins II,5652,Quebec,68,2014,156.85,DMO68,68/68,2350.0,Neither,92.0,False,85.0,False,48.053615,-67.500661,Enercon,E-92
Diavik Mine Wind Farm,1475,Northwest Territories,4,2012,9.2,DIM4,4/4,2300.0,Neither,71.0,False,64.0,False,64.49412,-110.33456,Enercon,E-70
Digby Limited,1482,Nova Scotia,20,2006,0.8,DBL1,1/20,800.0,Neither,48.0,False,50.0,True,44.649192,-65.799676,Enercon,E-48/800
Digby Neck,1552,Nova Scotia,20,2010,30.0,DIG9,9/20,1500.0,Neither,77.0,False,80.0,False,44.6048804927392,-65.9354171452176,GE,GE 1.5SLE
Dokie Ridge Wind Farm,983,British Columbia,48,2011,144.0,DOK9,9/48,3000.0,Neither,90.0,False,80.0,False,55.83644,-122.223458,Vestas,V90/3000
Dufferin Wind,3155,Ontario,49,2014,91.4,DUF9,9/49,2750.0,Derated,103.0,False,85.0,False,44.2497625108832,-80.2132401080707,GE,GE 2.75-103
East Durham,3681,Ontario,14,2015,22.4,EDU9,9/14,1600.0,Neither,100.0,False,80.0,False,44.2324387868745,-80.6415953397588,GE,GE 1.6-100
